"","GeneSymbol","DATE.ADDED.TO.CATALOG","PUBMEDID","FIRST.AUTHOR","DATE","JOURNAL","LINK","STUDY","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","REPLICATION.SAMPLE.SIZE","REGION","CHR_ID","CHR_POS","REPORTED.GENE.S.","MAPPED_GENE","UPSTREAM_GENE_ID","DOWNSTREAM_GENE_ID","SNP_GENE_IDS","UPSTREAM_GENE_DISTANCE","DOWNSTREAM_GENE_DISTANCE","STRONGEST.SNP.RISK.ALLELE","SNPS","MERGED","SNP_ID_CURRENT","CONTEXT","INTERGENIC","RISK.ALLELE.FREQUENCY","P.VALUE","PVALUE_MLOG","P.VALUE..TEXT.","OR.or.BETA","X95..CI..TEXT.","PLATFORM..SNPS.PASSING.QC.","CNV","MAPPED_TRAIT","MAPPED_TRAIT_URI","STUDY.ACCESSION","GENOTYPING.TECHNOLOGY"
"31","MDGA2","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"14q21.3",14,47680311,"MDGA2","MDGA2 - MIR548Y","ENSG00000139915","ENSG00000263945","",4706,80684,"rs76049381-C","rs76049381",0,76049381,"intergenic_variant",1,"NR",3e-07,6.52287874528034,"",1.23,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"32","NTF3","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"12p13.31",12,5509782,"NTF3","NTF3","","","ENSG00000185652",NA,NA,"rs7138947-A","rs7138947",0,7138947,"non_coding_transcript_exon_variant",0,"NR",2e-08,7.69897000433602,"(AA)",3.15,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"33","PCDH9","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"",NA,NA,"PCDH9","","","","",NA,NA,"chr13:67376132-?","chr13:67376132",0,NA,"",1,"NR",7e-07,6.15490195998574,"(EA)",1.99,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"34","PRKDCa","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"8q11.21",8,47858141,"PRKDCa","PRKDC","","","ENSG00000253729",NA,NA,"rs7003908-C","rs7003908",0,7003908,"intron_variant",0,"NR",5e-07,6.30102999566398,"(AA)",1.5625,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"35","RFX3","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"9p24.2",9,3245127,"RFX3","RFX3","","","ENSG00000080298",NA,NA,"rs7855172-G","rs7855172",0,7855172,"intron_variant",0,"NR",1e-07,7,"(EA)",1.3888888,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"36","RP11-310I9.1","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"4q32.3",4,168005343,"RP11-310I9.1","AC116634.1","","","ENSG00000248601",NA,NA,"rs190721506-C","rs190721506",0,190721506,"intron_variant",0,"NR",7e-07,6.15490195998574,"(AA)",5.5555553,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"37","TRAV8-3","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"",NA,NA,"TRAV8-3","","","","",NA,NA,"chr14:22325242-?","chr14:22325242",0,NA,"",1,"NR",3e-07,6.52287874528034,"",1.48,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"38","WDR17","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"4q34.2",4,176155096,"WDR17","WDR17","","","ENSG00000150627",NA,NA,"rs10012282-C","rs10012282",0,10012282,"intron_variant",0,"NR",7e-07,6.15490195998574,"(Hispanic)",2.857143,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"39","ZNF616","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"19q13.41",19,52101049,"ZNF616, ZNF841","ZNF841 - AC011468.4","ENSG00000197608","ENSG00000270248","",5284,9269,"rs73578849-G","rs73578849",0,73578849,"intergenic_variant",1,"NR",3e-07,6.52287874528034,"(AA)",1.724138,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"40","PLD5","2016-06-02",26207136,"Cho CH","2015-07-06","Psychiatry Investig","www.ncbi.nlm.nih.gov/pubmed/26207136","CDH13 and HCRTR2 May Be Associated with Hypersomnia Symptom of Bipolar Depression: A Genome-Wide Functional Enrichment Pathway Analysis.","Hypersomnia during a major depressive episode in bipolar disorder","263 European ancestry cases with hypersomnia, 112 European ancestry cases without hypersomnia",NA,"1q43",1,242546741,"PLD5","PLD5 - AC099785.1","ENSG00000180287","ENSG00000270859","",22045,124399,"rs1553441-?","rs1553441",0,1553441,"intergenic_variant",1,"",6e-06,5.22184874961636,"(adaptative permutation)",2.44,"[NR] (Non-permuted)","Affymetrix [703012]","N","major depressive episode, bipolar disorder, hypersomnia","http://www.ebi.ac.uk/efo/EFO_0007634, http://www.ebi.ac.uk/efo/EFO_0000289, http://www.ebi.ac.uk/efo/EFO_0005246","GCST003016","Genome-wide genotyping array"
"41","TRA@","2010-09-22",20711174,"Hor H","2010-08-15","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/20711174","Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.","Narcolepsy","562 European ancestry cases, 702 European ancestry controls","370 cases, 495 controls","14q11.2",14,22533736,"TRA@","TRAJ10 - TRAJ9","ENSG00000211879","ENSG00000211880","",176,1818,"rs1154155-G","rs1154155",0,1154155,"intergenic_variant",1,"0.15",5e-07,6.30102999566398,"",1.54,"[1.30-1.95]","Affymetrix [392949]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST000771","Genome-wide genotyping array"
"42","TRA","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy","1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls","2,693 European ancestry cases, 11,495 European ancestry controls","14q11.2",14,22533736,"TRA","TRAJ10 - TRAJ9","ENSG00000211879","ENSG00000211880","",176,1818,"rs1154155-G","rs1154155",0,1154155,"intergenic_variant",1,"0.148",5e-49,48.301029995664,"",1.64,"[1.53-1.75]","Affymetrix [603382]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002260","Genome-wide genotyping array"
"43","P2RY11","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy","1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls","2,693 European ancestry cases, 11,495 European ancestry controls","19p13.2",19,10107354,"P2RY11, DNMT1","PPAN-P2RY11, PPAN","","","ENSG00000243207, ENSG00000130810",NA,NA,"rs1551570-?","rs1551570",0,1551570,"intron_variant",0,"0.458",4e-10,9.39794000867204,"",1.32,"[1.2-1.43]","Affymetrix [603382]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002260","Genome-wide genotyping array"
"44","TRB","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy","1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls","2,693 European ancestry cases, 11,495 European ancestry controls","7q34",7,142357119,"TRB","TRBV7-2 - TRBV8-1","ENSG00000282939","ENSG00000243889","",3761,1520,"rs2854536-?","rs2854536",0,2854536,"intergenic_variant",1,"0.292",4e-08,7.39794000867204,"",1.28,"[1.18-1.41]","Affymetrix [603382]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002260","Genome-wide genotyping array"
"45","IL10RB","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy","1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls","2,693 European ancestry cases, 11,495 European ancestry controls","21q22.11",21,33316948,"IL10RB, INFAR1","IL10RB - IFNAR1","ENSG00000243646","ENSG00000142166","",6761,7481,"rs2834188-?","rs2834188",0,2834188,"intergenic_variant",1,"0.705",2e-08,7.69897000433602,"",1.3,"[1.18-1.41]","Affymetrix [603382]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002260","Genome-wide genotyping array"
"46","ZNF365","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy","1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls","2,693 European ancestry cases, 11,495 European ancestry controls","10q21.2",10,62631615,"ZNF365","AC024598.1, AC067752.1, ZNF365","","","ENSG00000285837, ENSG00000285551, ENSG00000138311",NA,NA,"rs10995245-A","rs10995245",0,10995245,"intron_variant",0,"0.348",1e-11,11,"",1.23,"[1.16-1.31]","Affymetrix [603382]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002260","Genome-wide genotyping array"
"47","NR","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy (age of onset)","at least 1,000 Chinese ancestry cases",NA,"6p21.32",6,32665936,"NR","HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1","","","ENSG00000233209, ENSG00000179344, ENSG00000206302, ENSG00000206237, ENSG00000225824, ENSG00000231939, ENSG00000231286",NA,NA,"rs9274477-G","rs9274477",0,9274477,"intron_variant",0,"0.292",2e-08,7.69897000433602,"",1.82,"year decrease","Affymetrix [603382]","N","narcolepsy with cataplexy, age at onset","http://www.ebi.ac.uk/efo/EFO_0000614, http://www.ebi.ac.uk/efo/EFO_0004847","GCST002261","Genome-wide genotyping array"
"48","NR","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy (age of onset)","at least 1,000 Chinese ancestry cases",NA,"6p21.32",6,32683763,"NR","HLA-DQB1 - MTCO3P1","ENSG00000231286","ENSG00000237145","",15380,22361,"rs17212223-T","rs17212223",0,17212223,"intergenic_variant",1,"0.191",3e-08,7.52287874528034,"",1.95,"year decrease","Affymetrix [603382]","N","narcolepsy with cataplexy, age at onset","http://www.ebi.ac.uk/efo/EFO_0000614, http://www.ebi.ac.uk/efo/EFO_0004847","GCST002261","Genome-wide genotyping array"
"49","NR","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy (age of onset)","at least 1,000 Chinese ancestry cases",NA,"6p21.32",6,32658353,"NR","HLA-DQA1 - HLA-DQB1","ENSG00000196735","ENSG00000231286","",11291,1114,"rs7744020-A","rs7744020",0,7744020,"regulatory_region_variant",1,"0.272",8e-09,8.09691001300806,"",1.9,"year decrease","Affymetrix [603382]","N","narcolepsy with cataplexy, age at onset","http://www.ebi.ac.uk/efo/EFO_0000614, http://www.ebi.ac.uk/efo/EFO_0004847","GCST002261","Genome-wide genotyping array"
"50","NR","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy (onset before 2009 H1N1 influenza pandemic)","up to 893 Chinese ancestry cases with onset before the 2009 H1N1 influenza pandemic, up to 373 Chinese ancestry cases with onset after the 2009 H1N1 influenza pandemic",NA,"6p21.32",6,32605694,"NR","HLA-DRB1 - HLA-DQA1","ENSG00000206240","ENSG00000196735","",15846,22485,"rs9270965-?","rs9270965",0,9270965,"intron_variant",1,"NR",5e-12,11.301029995664,"",1.72,"[NR]","Affymetrix [603382]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002259","Genome-wide genotyping array"
"51","NR","2014-05-13",24204295,"Han F","2013-10-31","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/24204295","Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","Narcolepsy (onset before 2009 H1N1 influenza pandemic)","up to 893 Chinese ancestry cases with onset before the 2009 H1N1 influenza pandemic, up to 373 Chinese ancestry cases with onset after the 2009 H1N1 influenza pandemic",NA,"6p21.32",6,32609018,"NR","HLA-DRB1 - HLA-DQA1","ENSG00000206240","ENSG00000196735","",19170,19161,"rs9271117-?","rs9271117",0,9271117,"intron_variant",1,"NR",6e-14,13.2218487496164,"",1.75,"[NR]","Affymetrix [603382]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002259","Genome-wide genotyping array"
"52","NR","2018-11-30",29855537,"Hirata T","2018-05-31","Sci Rep","www.ncbi.nlm.nih.gov/pubmed/29855537","Japanese GWAS identifies variants for bust-size, dysmenorrhea, and menstrual fever that are eQTLs for relevant protein-coding or long non-coding RNAs.","Menstruation quality of life impact (sleepiness)","1,902 Japanese ancestry female cases, 3,832 Japanese ancestry female controls","1,934 Japanese ancestry female cases, 3,680 Japanese ancestry female controls","15q14",15,34743665,"NR","LINC02252 - GJD2","ENSG00000261304","ENSG00000159248","",87901,7367,"rs60924036-G","rs60924036",0,60924036,"intergenic_variant",1,"0.321933348",8e-06,5.09691001300806,"",0.13361064,"[0.075-0.192] unit increase","Affymetrix [536506]","N","quality of life during menstruation measurement, sleepiness","http://www.ebi.ac.uk/efo/EFO_0009366, http://purl.obolibrary.org/obo/NCIT_C95746","GCST006651","Genome-wide genotyping array"
"53","NR","2018-11-30",29855537,"Hirata T","2018-05-31","Sci Rep","www.ncbi.nlm.nih.gov/pubmed/29855537","Japanese GWAS identifies variants for bust-size, dysmenorrhea, and menstrual fever that are eQTLs for relevant protein-coding or long non-coding RNAs.","Menstruation quality of life impact (sleepiness)","1,902 Japanese ancestry female cases, 3,832 Japanese ancestry female controls","1,934 Japanese ancestry female cases, 3,680 Japanese ancestry female controls","5q23.1",5,116563436,"NR","SEMA6A","","","ENSG00000092421",NA,NA,"rs9327007-G","rs9327007",0,9327007,"intron_variant",0,"0.319504311",8e-06,5.09691001300806,"",0.13501824,"[0.076-0.194] unit decrease","Affymetrix [536506]","N","quality of life during menstruation measurement, sleepiness","http://www.ebi.ac.uk/efo/EFO_0009366, http://purl.obolibrary.org/obo/NCIT_C95746","GCST006651","Genome-wide genotyping array"
"54","NR","2018-11-30",29855537,"Hirata T","2018-05-31","Sci Rep","www.ncbi.nlm.nih.gov/pubmed/29855537","Japanese GWAS identifies variants for bust-size, dysmenorrhea, and menstrual fever that are eQTLs for relevant protein-coding or long non-coding RNAs.","Menstruation quality of life impact (sleepiness)","1,902 Japanese ancestry female cases, 3,832 Japanese ancestry female controls","1,934 Japanese ancestry female cases, 3,680 Japanese ancestry female controls","17p12",17,15052017,"NR","AC005772.1","","","ENSG00000232058",NA,NA,"rs7207701-T","rs7207701",0,7207701,"non_coding_transcript_exon_variant",0,"0.30059775",5e-07,6.30102999566398,"",0.15388642,"[0.094-0.214] unit increase","Affymetrix [536506]","N","quality of life during menstruation measurement, sleepiness","http://www.ebi.ac.uk/efo/EFO_0009366, http://purl.obolibrary.org/obo/NCIT_C95746","GCST006651","Genome-wide genotyping array"
"55","MEIS1","2017-09-11",28604731,"Hammerschlag AR","2017-06-12","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/28604731","Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.","Insomnia complaints (continuous)","12,863 European ancestry male cases, 19,521 European ancestry female cases, 40,776 European ancestry male controls, 39,846 European ancestry female controls",NA,"2p14",2,66523432,"MEIS1","MEIS1","","","ENSG00000143995",NA,NA,"rs113851554-","rs113851554",0,113851554,"intron_variant",0,"NR",6e-22,21.2218487496164,"",0.087,"[0.069-0.105] unit increase","Affymetrix [at least 12428592] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST004701","Genome-wide genotyping array"
"56","NR","2013-06-20",23496005,"Luca G","2013-03-18","J Sleep Res","www.ncbi.nlm.nih.gov/pubmed/23496005","Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study.","Narcolepsy with cataplexy","585 European ancestry cases","387 European ancestry cases","19q12",19,31667558,"NR","RNA5SP471 - RNU6-967P","ENSG00000252780","ENSG00000201894","",12097,119590,"rs16966122-?","rs16966122",0,16966122,"intergenic_variant",1,"NR",2e-06,5.69897000433602,"(ESS)",1.601,"[NR] unit decrease","NR [NR]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST001909","Genome-wide genotyping array"
"57","UBXN2B","2013-06-20",23496005,"Luca G","2013-03-18","J Sleep Res","www.ncbi.nlm.nih.gov/pubmed/23496005","Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study.","Narcolepsy with cataplexy","585 European ancestry cases","387 European ancestry cases","8q12.1",8,58411603,"UBXN2B","UBXN2B","","","ENSG00000215114",NA,NA,"rs2859998-?","rs2859998",0,2859998,"intron_variant",0,"NR",1e-07,7,"(Age EDS onset)",4.4145,"[NR] unit decrease","NR [NR]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST001909","Genome-wide genotyping array"
"58","TEAD4","2013-06-20",23496005,"Luca G","2013-03-18","J Sleep Res","www.ncbi.nlm.nih.gov/pubmed/23496005","Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study.","Narcolepsy with cataplexy","585 European ancestry cases","387 European ancestry cases","12p13.33",12,3055757,"TEAD4","AC125807.2 - AC125807.1","ENSG00000250899","ENSG00000234589","",10807,15775,"rs12425451-?","rs12425451",0,12425451,"TF_binding_site_variant",1,"NR",2e-07,6.69897000433602,"(Age cataplexy onset)",6.7866,"[NR] unit decrease","NR [NR]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST001909","Genome-wide genotyping array"
"59","NR","2013-06-20",23496005,"Luca G","2013-03-18","J Sleep Res","www.ncbi.nlm.nih.gov/pubmed/23496005","Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study.","Narcolepsy with cataplexy","585 European ancestry cases","387 European ancestry cases","20q13.13",20,48763274,"NR","PREX1","","","ENSG00000124126",NA,NA,"rs2426087-?","rs2426087",0,2426087,"intron_variant",0,"NR",2e-06,5.69897000433602,"(SE)",10.463,"[NR] unit increase","NR [NR]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST001909","Genome-wide genotyping array"
"60","MEIS1","2017-09-11",28604731,"Hammerschlag AR","2017-06-12","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/28604731","Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.","Insomnia complaints","12,863 European ancestry male cases, 19,521 European ancestry female cases, 40,776 European ancestry male controls, 39,846 European ancestry female controls","1,983 Icelandic ancestry male cases, 1,791 Icelandic ancestry female cases, 2,064 Icelandic ancestry male controls, 1,727 Icelandic ancestry female controls","2p14",2,66523432,"MEIS1","MEIS1","","","ENSG00000143995",NA,NA,"rs113851554-T","rs113851554",0,113851554,"intron_variant",0,"0.056",4e-19,18.397940008672,"",8.94,"z-score increase","Affymetrix [at least 12428592] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST004695","Genome-wide genotyping array"
"61","SCFD2","2017-09-11",28604731,"Hammerschlag AR","2017-06-12","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/28604731","Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.","Insomnia complaints","12,863 European ancestry male cases, 19,521 European ancestry female cases, 40,776 European ancestry male controls, 39,846 European ancestry female controls","1,983 Icelandic ancestry male cases, 1,791 Icelandic ancestry female cases, 2,064 Icelandic ancestry male controls, 1,727 Icelandic ancestry female controls","4q12",4,53111094,"SCFD2","SCFD2","","","ENSG00000184178",NA,NA,"rs574753165-G","rs574753165",0,574753165,"intron_variant",0,"0.005",5e-09,8.30102999566398,"",5.85,"z-score decrease","Affymetrix [at least 12428592] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST004695","Genome-wide genotyping array"
"62","MEIS1","2018-11-02",28604731,"Hammerschlag AR","2017-06-12","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/28604731","Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.","Insomnia complaints","19,521 European ancestry female cases, 39,846 European ancestry female controls","1,983 Icelandic ancestry male cases, 1,791 Icelandic ancestry female cases, 2,064 Icelandic ancestry male controls, 1,727 Icelandic ancestry female controls","2p14",2,66523432,"MEIS1","MEIS1","","","ENSG00000143995",NA,NA,"rs113851554-T","rs113851554",0,113851554,"intron_variant",0,"0.056",7e-13,12.1549019599857,"",7.19,"z-score increase","Affymetrix [at least 12428592] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST006487","Genome-wide genotyping array"
"63","intergenic","2018-11-02",28604731,"Hammerschlag AR","2017-06-12","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/28604731","Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.","Insomnia complaints","12,863 European ancestry male cases, 40,776 European ancestry male controls","1,983 Icelandic ancestry male cases, 1,791 Icelandic ancestry female cases, 2,064 Icelandic ancestry male controls, 1,727 Icelandic ancestry female controls","6q27",6,169440978,"intergenic","AL135910.1, AL031315.1","","","ENSG00000272848, ENSG00000285733",NA,NA,"rs71554396-GT","rs71554396",0,71554396,"intron_variant",0,"0.137",8e-08,7.09691001300806,"",5.36,"z-score increase","Affymetrix [at least 12428592] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST006488","Genome-wide genotyping array"
"64","WDR27","2018-11-02",28604731,"Hammerschlag AR","2017-06-12","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/28604731","Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.","Insomnia complaints","12,863 European ancestry male cases, 40,776 European ancestry male controls","1,983 Icelandic ancestry male cases, 1,791 Icelandic ancestry female cases, 2,064 Icelandic ancestry male controls, 1,727 Icelandic ancestry female controls","6q27",6,169561539,"WDR27","WDR27, AL031315.1","","","ENSG00000184465, ENSG00000285733",NA,NA,"rs13192566-C","rs13192566",0,13192566,"intron_variant",0,"0.146",2e-08,7.69897000433602,"",5.63,"z-score decrease","Affymetrix [at least 12428592] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST006488","Genome-wide genotyping array"
"65","HLA-DQA2","2010-09-22",20711174,"Hor H","2010-08-15","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/20711174","Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.","Narcolepsy","562 European ancestry cases, 702 European ancestry controls","370 cases, 495 controls","6p21.32",6,32732306,"HLA-DQA2","HLA-DQB3 - HLA-DQA2","ENSG00000224197","ENSG00000237541","",611,9036,"rs2858884-A","rs2858884",0,2858884,"regulatory_region_variant",1,"0.81",3e-08,7.52287874528034,"",1.79,"[1.45-2.17]","Affymetrix [392949]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST000771","Genome-wide genotyping array"
